Date,Time,Location/Area,Accident Type,Severity,Vehicle Type
2025-01-01,06:54:00,Central,Collision,Moderate,Truck
2025-01-01,19:15:00,Highway,Collision,Minor,Motorcycle
2025-01-01,14:45:00,Central,Hit-and-run,Severe,Motorcycle
2025-01-01,10:42:00,Suburban,Collision,Moderate,Auto
2025-01-01,07:06:00,Highway,Hit-and-run,Minor,Motorcycle
2025-01-01,20:15:00,East,Collision,Minor,Bicycle
2025-01-01,06:44:00,Suburban,Collision,Moderate,Motorcycle
2025-01-01,18:58:00,Unknown,Hit-and-run,Severe,Car
2025-01-01,22:46:00,South,Collision,Moderate,Motorcycle
2025-01-01,10:55:00,West,Single Vehicle,Minor,Car
2025-01-01,10:47:00,South,Collision,Moderate,Motorcycle
2025-01-01,23:26:00,Suburban,Collision,Minor,Truck
2025-01-01,20:52:00,Central,Single Vehicle,Fatal,Motorcycle
2025-01-01,03:22:00,West,Rear-end,Moderate,Car
2025-01-01,07:23:00,West,Hit-and-run,Moderate,Motorcycle
2025-01-02,23:08:00,West,Collision,Minor,Car
2025-01-02,02:34:00,North,Rear-end,Moderate,Truck
2025-01-02,21:50:00,South,Hit-and-run,Minor,Bus
2025-01-02,20:19:00,Highway,Collision,Minor,Bicycle
2025-01-02,01:36:00,North,Pedestrian,Minor,Car
2025-01-02,23:41:00,Highway,Rear-end,Severe,Motorcycle
2025-01-02,11:16:00,West,Rear-end,Moderate,Motorcycle
2025-01-02,05:46:00,Highway,Rear-end,Minor,Auto
2025-01-02,01:30:00,Industrial,Rear-end,Severe,Truck
2025-01-02,20:54:00,North,Collision,Minor,Car
2025-01-02,00:56:00,West,Rear-end,Minor,Motorcycle
2025-01-02,11:07:00,Highway,Collision,Minor,Truck
2025-01-02,21:14:00,East,Rear-end,Moderate,Truck
2025-01-02,11:30:00,Suburban,Pedestrian,Moderate,Auto
2025-01-03,16:52:00,East,Rear-end,Moderate,Car
2025-01-03,09:29:00,Central,Single Vehicle,Moderate,Bicycle
2025-01-03,15:45:00,South,Collision,Minor,Car
2025-01-03,14:19:00,Suburban,Rear-end,Moderate,Bicycle
2025-01-03,14:59:00,South,Pedestrian,Minor,Auto
2025-01-03,18:38:00,Highway,Rear-end,Moderate,Truck
2025-01-03,11:52:00,Highway,Rear-end,Moderate,Truck
2025-01-03,22:54:00,South,Collision,Moderate,Car
2025-01-03,19:11:00,Central,Rear-end,Moderate,Car
2025-01-03,02:48:00,Industrial,Collision,Moderate,Car
2025-01-03,04:16:00,South,Single Vehicle,Minor,Car
2025-01-03,18:41:00,Highway,Collision,Severe,Motorcycle
2025-01-03,06:29:00,East,Single Vehicle,Minor,Car
